"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",84.4786532141623,1805.01982720386,1228.94649236077,-0.522030707706634,11.806097985887,0.328174088942995,0.21119533774899,NA
"Test set",-1019.41169356201,3790.48536760824,3389.8884161329,-10.2903652122543,18.2248409239145,0.905225369451031,0.715830725244279,0.530904059034232
