"","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1","Theil's U"
"Training set",539.417904368243,4088.46115460868,2338.06995242542,7.06942975468446,33.4251638507568,0.624351004125699,0.0619762185719435,NA
"Test set",-67152.7042746896,69628.3560413944,67152.7042746896,-288.964289622832,288.964289622832,17.9322514709901,0.686986703661782,6.66533626964247
