"predTrain_cutoffLIST","predTrain_accuracyLIST"
0,0.682857142857143
0.01,0.682857142857143
0.02,0.682857142857143
0.03,0.685714285714286
0.04,0.69
0.05,0.691428571428571
0.06,0.691428571428571
0.07,0.697142857142857
0.08,0.702857142857143
0.09,0.707142857142857
0.1,0.71
0.11,0.715714285714286
0.12,0.718571428571429
0.13,0.727142857142857
0.14,0.735714285714286
0.15,0.737142857142857
0.16,0.737142857142857
0.17,0.738571428571429
0.18,0.74
0.19,0.745714285714286
0.2,0.747142857142857
0.21,0.748571428571429
0.22,0.752857142857143
0.23,0.752857142857143
0.24,0.751428571428571
0.25,0.755714285714286
0.26,0.755714285714286
0.27,0.757142857142857
0.28,0.76
0.29,0.76
0.3,0.765714285714286
0.31,0.771428571428571
0.32,0.772857142857143
0.33,0.77
0.34,0.772857142857143
0.35,0.774285714285714
0.36,0.777142857142857
0.37,0.775714285714286
0.38,0.777142857142857
0.39,0.775714285714286
0.4,0.781428571428571
0.41,0.781428571428571
0.42,0.777142857142857
0.43,0.777142857142857
0.44,0.781428571428571
0.45,0.78
0.46,0.777142857142857
0.47,0.782857142857143
0.48,0.788571428571429
0.49,0.79
0.5,0.791428571428571
0.51,0.79
0.52,0.79
0.53,0.788571428571429
0.54,0.788571428571429
0.55,0.788571428571429
0.56,0.787142857142857
0.57,0.787142857142857
0.58,0.785714285714286
0.59,0.785714285714286
0.6,0.784285714285714
0.61,0.781428571428571
0.62,0.777142857142857
0.63,0.777142857142857
0.64,0.774285714285714
0.65,0.77
0.66,0.77
0.67,0.77
0.68,0.767142857142857
0.69,0.761428571428571
0.7,0.752857142857143
0.71,0.755714285714286
0.72,0.752857142857143
0.73,0.745714285714286
0.74,0.745714285714286
0.75,0.737142857142857
0.76,0.73
0.77,0.722857142857143
0.78,0.718571428571429
0.79,0.718571428571429
0.8,0.707142857142857
0.81,0.704285714285714
0.82,0.697142857142857
0.83,0.687142857142857
0.84,0.682857142857143
0.85,0.675714285714286
0.86,0.665714285714286
0.87,0.64
0.88,0.62
0.89,0.595714285714286
0.9,0.572857142857143
0.91,0.545714285714286
0.92,0.527142857142857
0.93,0.505714285714286
0.94,0.474285714285714
0.95,0.45
0.96,0.43
0.97,0.401428571428571
0.98,0.378571428571429
0.99,0.335714285714286
1,0.317142857142857
