Date,Quantity
7/19/2014,11898
7/20/2014,10933
7/21/2014,11127
7/22/2014,11307
7/23/2014,10315
7/24/2014,10803
7/25/2014,12421
7/26/2014,12118
7/27/2014,10089
7/28/2014,10774
7/29/2014,11444
7/30/2014,11501
7/31/2014,11106
8/1/2014,9974
8/2/2014,10919
8/3/2014,9919
8/4/2014,11000
8/5/2014,10828
8/6/2014,11109
8/7/2014,11175
8/8/2014,11371
8/9/2014,10457
8/10/2014,10782
8/11/2014,9687
8/12/2014,6030
8/13/2014,11019
8/14/2014,11131
8/15/2014,12048
8/16/2014,12360
8/17/2014,10681
8/18/2014,10842
8/19/2014,10646
8/20/2014,9256
8/21/2014,9850
8/22/2014,10354
8/23/2014,6513
8/24/2014,10933
8/25/2014,10860
8/26/2014,10988
8/27/2014,11248
8/28/2014,11171
8/29/2014,11733
8/30/2014,10309
8/31/2014,9026
9/1/2014,8405
9/2/2014,8717
9/3/2014,10544
9/4/2014,10929
9/5/2014,11109
9/6/2014,9436
9/7/2014,11365
9/8/2014,10493
9/9/2014,11090
9/10/2014,11371
9/11/2014,11108
9/12/2014,12283
9/13/2014,8302
9/14/2014,12051
9/15/2014,11477
9/16/2014,12262
9/17/2014,11764
9/18/2014,11627
9/19/2014,11972
9/20/2014,12835
9/21/2014,10868
9/22/2014,11140
9/23/2014,11730
9/24/2014,9397
9/25/2014,6717
9/26/2014,12287
9/27/2014,12781
9/28/2014,11034
9/29/2014,10739
9/30/2014,11764
10/1/2014,10657
10/2/2014,11834
10/3/2014,11047
10/4/2014,10754
10/5/2014,9763
10/6/2014,10761
10/7/2014,9581
10/8/2014,11365
10/9/2014,11356
10/10/2014,8243
10/11/2014,5774
10/12/2014,9527
10/13/2014,6695
10/14/2014,11020
10/15/2014,6157
10/16/2014,10182
10/17/2014,12074
10/18/2014,10940
10/19/2014,8221
10/20/2014,9532
10/21/2014,7565
10/22/2014,4444
10/23/2014,9848
10/24/2014,10563
10/25/2014,11335
10/26/2014,10358
10/27/2014,10622
10/28/2014,11707
10/29/2014,9506
10/30/2014,10147
10/31/2014,9666
11/1/2014,6130
11/2/2014,5698
11/3/2014,8661
11/4/2014,9921
11/5/2014,9241
11/6/2014,7390
11/7/2014,8782
11/8/2014,7652
11/9/2014,7942
11/10/2014,9408
11/11/2014,10891
11/12/2014,9629
11/13/2014,7193
11/14/2014,7077
11/15/2014,6016
11/16/2014,4783
11/17/2014,4133
11/18/2014,5571
11/19/2014,6037
11/20/2014,7297
11/21/2014,6413
11/22/2014,5627
11/23/2014,5647
11/24/2014,9270
11/25/2014,8204
11/26/2014,1447
11/27/2014,1871
11/28/2014,2647
11/29/2014,3696
11/30/2014,5024
12/1/2014,6382
12/2/2014,2682
12/3/2014,6947
12/4/2014,7391
12/5/2014,6033
12/6/2014,2704
12/7/2014,5314
12/8/2014,6072
12/9/2014,3320
12/10/2014,6749
12/11/2014,6377
12/12/2014,6833
12/13/2014,5679
12/14/2014,5311
12/15/2014,7707
12/16/2014,6008
12/17/2014,7434
12/18/2014,6370
12/19/2014,5918
12/20/2014,3889
12/21/2014,3619
12/22/2014,3001
12/23/2014,3755
12/24/2014,1224
12/25/2014,1662
12/26/2014,2948
12/27/2014,4219
12/28/2014,2888
12/29/2014,5188
12/30/2014,5343
12/31/2014,4254
1/1/2015,2611
1/2/2015,5155
1/3/2015,1718
1/4/2015,3711
1/5/2015,5262
1/6/2015,2086
1/7/2015,3063
1/8/2015,2976
1/9/2015,4237
1/10/2015,2694
1/11/2015,3486
1/12/2015,2168
1/13/2015,5520
1/14/2015,4598
1/15/2015,5812
1/16/2015,5729
1/17/2015,4265
1/18/2015,2548
1/19/2015,4687
1/20/2015,6316
1/21/2015,5402
1/22/2015,6424
1/23/2015,4774
1/24/2015,3504
1/25/2015,5210
1/26/2015,2448
1/27/2015,4102
1/28/2015,5131
1/29/2015,4679
1/30/2015,4905
1/31/2015,3371
2/1/2015,3621
2/2/2015,3911
2/3/2015,5162
2/4/2015,6138
2/5/2015,5076
2/6/2015,5006
2/7/2015,5036
2/8/2015,6829
2/9/2015,5017
2/10/2015,5768
2/11/2015,6708
2/12/2015,5509
2/13/2015,4078
2/14/2015,3004
2/15/2015,1055
2/16/2015,1335
2/17/2015,1198
2/18/2015,3183
2/19/2015,2720
2/20/2015,2517
2/21/2015,758
2/22/2015,2021
2/23/2015,3655
2/24/2015,3921
2/25/2015,5016
2/26/2015,3531
2/27/2015,4699
2/28/2015,3294
3/1/2015,802
3/2/2015,4118
3/3/2015,3884
3/4/2015,4187
3/5/2015,560
3/6/2015,1987
3/7/2015,3271
3/8/2015,5529
3/9/2015,8175
3/10/2015,4015
3/11/2015,7909
3/12/2015,9215
3/13/2015,8084
3/14/2015,3669
3/15/2015,6668
3/16/2015,9022
3/17/2015,9246
3/18/2015,7527
3/19/2015,8202
3/20/2015,2956
3/21/2015,9436
3/22/2015,8233
3/23/2015,8134
3/24/2015,7875
3/25/2015,7553
3/26/2015,8778
3/27/2015,6141
3/28/2015,4676
3/29/2015,5861
3/30/2015,9196
3/31/2015,8198
4/1/2015,9874
4/2/2015,11273
4/3/2015,6425
4/4/2015,10433
4/5/2015,10181
4/6/2015,12638
4/7/2015,11109
4/8/2015,7437
4/9/2015,7826
4/10/2015,9393
4/11/2015,16726
4/12/2015,15724
4/13/2015,12676
4/14/2015,3824
4/15/2015,11119
4/16/2015,11687
4/17/2015,12546
4/18/2015,16004
4/19/2015,10250
4/20/2015,9066
4/21/2015,11630
4/22/2015,10540
4/23/2015,10106
4/24/2015,10370
4/25/2015,7177
4/26/2015,10327
4/27/2015,8864
4/28/2015,10995
4/29/2015,11652
4/30/2015,10255
5/1/2015,10351
5/2/2015,12570
5/3/2015,12098
5/4/2015,11987
5/5/2015,11093
5/6/2015,11483
5/7/2015,12316
5/8/2015,13427
5/9/2015,12841
5/10/2015,11089
5/11/2015,12133
5/12/2015,12056
5/13/2015,11774
5/14/2015,12615
5/15/2015,13641
5/16/2015,11196
5/17/2015,10933
5/18/2015,10442
5/19/2015,12063
5/20/2015,12981
5/21/2015,6981
5/22/2015,12522
5/23/2015,12706
5/24/2015,13564
5/25/2015,11990
5/26/2015,11351
5/27/2015,11470
5/28/2015,11625
5/29/2015,12058
5/30/2015,12657
5/31/2015,10917
6/1/2015,8101
6/2/2015,8054
6/3/2015,9879
6/4/2015,6356
6/5/2015,11075
6/6/2015,12665
6/7/2015,11661
6/8/2015,9959
6/9/2015,11764
6/10/2015,11586
6/11/2015,11844
6/12/2015,10867
6/13/2015,11754
6/14/2015,9490
6/15/2015,9975
6/16/2015,11492
6/17/2015,11173
6/18/2015,9990
6/19/2015,12019
6/20/2015,9305
6/21/2015,8775
6/22/2015,11258
6/23/2015,9184
6/24/2015,12581
6/25/2015,11119
6/26/2015,13027
6/27/2015,3301
6/28/2015,11601
6/29/2015,12191
6/30/2015,11970
7/1/2015,11223
7/2/2015,11257
7/3/2015,12791
7/4/2015,10288
7/5/2015,12199
7/6/2015,10902
7/7/2015,12223
7/8/2015,9495
7/9/2015,11045
7/10/2015,13013
7/11/2015,12420
7/12/2015,11711
7/13/2015,10224
7/14/2015,11591
7/15/2015,12088
7/16/2015,13257
7/17/2015,12627
7/18/2015,11096
7/19/2015,10148
7/20/2015,10856
7/21/2015,11811
7/22/2015,12934
7/23/2015,12992
7/24/2015,13339
7/25/2015,12902
7/26/2015,11314
7/27/2015,10919
7/28/2015,11976
7/29/2015,12170
7/30/2015,10808
7/31/2015,12396
8/1/2015,12043
8/2/2015,11447
8/3/2015,12085
8/4/2015,11626
8/5/2015,12501
8/6/2015,12617
8/7/2015,12181
8/8/2015,12970
8/9/2015,11651
8/10/2015,10494
8/11/2015,11342
8/12/2015,12485
8/13/2015,12435
8/14/2015,12549
8/15/2015,12082
8/16/2015,10192
8/17/2015,10971
8/18/2015,11595
8/19/2015,11966
8/20/2015,10192
8/21/2015,12902
8/22/2015,12339
8/23/2015,10981
8/24/2015,10283
8/25/2015,12672
8/26/2015,12330
8/27/2015,12406
8/28/2015,12210
8/29/2015,11526
8/30/2015,10188
8/31/2015,11052
9/1/2015,11522
9/2/2015,11378
9/3/2015,11131
9/4/2015,11050
9/5/2015,10867
9/6/2015,12400
9/7/2015,10351
9/8/2015,10965
9/9/2015,11065
9/10/2015,10356
9/11/2015,12167
9/12/2015,6665
9/13/2015,10397
9/14/2015,11156
9/15/2015,11943
9/16/2015,11938
9/17/2015,11949
9/18/2015,11956
9/19/2015,11580
9/20/2015,10998
9/21/2015,7816
9/22/2015,11952
9/23/2015,12773
9/24/2015,12514
9/25/2015,11403
9/26/2015,11038
9/27/2015,9979
9/28/2015,11305
9/29/2015,7240
9/30/2015,10184
