Date,Quantity
8/5/2011,4858
8/6/2011,4292
8/7/2011,3781
8/8/2011,4315
8/9/2011,4588
8/10/2011,4767
8/11/2011,4780
8/12/2011,4894
8/13/2011,4141
8/14/2011,3819
8/15/2011,4337
8/16/2011,4715
8/17/2011,4681
8/18/2011,3797
8/19/2011,4145
8/20/2011,5190
8/21/2011,3871
8/22/2011,4754
8/23/2011,5881
8/24/2011,5114
8/25/2011,3533
8/26/2011,4655
8/27/2011,1115
8/28/2011,4331
8/29/2011,4623
8/30/2011,5194
8/31/2011,5047
9/1/2011,5100
9/2/2011,4718
9/3/2011,4480
9/4/2011,4939
9/5/2011,3351
9/6/2011,2698
9/7/2011,1987
9/8/2011,1830
9/9/2011,3534
9/10/2011,5340
9/11/2011,5038
9/12/2011,4701
9/13/2011,4746
9/14/2011,4776
9/15/2011,3646
9/16/2011,4742
9/17/2011,4509
9/18/2011,4274
9/19/2011,4526
9/20/2011,3633
9/21/2011,4343
9/22/2011,4784
9/23/2011,2386
9/24/2011,5416
9/25/2011,5008
9/26/2011,4620
9/27/2011,4107
9/28/2011,3902
9/29/2011,4836
9/30/2011,5189
10/1/2011,2424
10/2/2011,2918
10/3/2011,3562
10/4/2011,4443
10/5/2011,4815
10/6/2011,4751
10/7/2011,4971
10/8/2011,5408
10/9/2011,5509
10/10/2011,5110
10/11/2011,4550
10/12/2011,2407
10/13/2011,2903
10/14/2011,3634
10/15/2011,5214
10/16/2011,5039
10/17/2011,4565
10/18/2011,4736
10/19/2011,2417
10/20/2011,4186
10/21/2011,4296
10/22/2011,4306
10/23/2011,4379
10/24/2011,4177
10/25/2011,4676
10/26/2011,3886
10/27/2011,2652
10/28/2011,3744
10/29/2011,627
10/30/2011,3327
10/31/2011,3661
11/1/2011,4061
11/2/2011,4176
11/3/2011,3961
11/4/2011,4039
11/5/2011,3920
11/6/2011,3648
11/7/2011,4024
11/8/2011,4197
11/9/2011,4107
11/10/2011,2926
11/11/2011,3360
11/12/2011,4065
11/13/2011,3713
11/14/2011,4469
11/15/2011,4184
11/16/2011,1813
11/17/2011,3044
11/18/2011,3386
11/19/2011,3656
11/20/2011,3514
11/21/2011,2762
11/22/2011,1601
11/23/2011,2563
11/24/2011,1494
11/25/2011,2788
11/26/2011,3066
11/27/2011,3065
11/28/2011,3854
11/29/2011,2905
11/30/2011,3605
12/1/2011,3712
12/2/2011,3929
12/3/2011,3611
12/4/2011,3483
12/5/2011,3800
12/6/2011,2586
12/7/2011,702
12/8/2011,3313
12/9/2011,3610
12/10/2011,3184
12/11/2011,2740
12/12/2011,3292
12/13/2011,3510
12/14/2011,3725
12/15/2011,3698
12/16/2011,3556
12/17/2011,2734
12/18/2011,2425
12/19/2011,3395
12/20/2011,3741
12/21/2011,2654
12/22/2011,3060
12/23/2011,2202
12/24/2011,1010
12/25/2011,754
12/26/2011,1316
12/27/2011,1157
12/28/2011,2297
12/29/2011,2416
12/30/2011,2991
12/31/2011,2484
1/1/2012,2294
1/2/2012,1950
1/3/2012,2233
1/4/2012,2367
1/5/2012,3269
1/6/2012,4091
1/7/2012,4520
1/8/2012,3424
1/9/2012,2370
1/10/2012,3592
1/11/2012,2174
1/12/2012,4091
1/13/2012,3207
1/14/2012,2491
1/15/2012,2306
1/16/2012,2295
1/17/2012,2931
1/18/2012,3370
1/19/2012,3285
1/20/2012,3156
1/21/2012,1300
1/22/2012,1975
1/23/2012,2429
1/24/2012,4327
1/25/2012,4259
1/26/2012,4060
1/27/2012,3449
1/28/2012,4019
1/29/2012,3240
1/30/2012,3615
1/31/2012,4501
2/1/2012,4574
2/2/2012,3754
