"rules","support","confidence","coverage","lift","count"
"{Diag_DD0122} => {HighCost}",0.00318565713439028,0.16044776119403,0.0198547933027115,2.17442156686447,43
"{Diag_DD0210} => {HighCost}",0.00970514150244481,0.303240740740741,0.0320047414431768,4.10958184590213,131
"{Diag_DD0070} => {HighCost}",0.00466735812712995,0.104477611940299,0.0446732849311009,1.41590241563268,63
"{Diag_DD0026} => {HighCost}",0.0117054378426434,0.355056179775281,0.0329678470884575,4.81179549659311,158
"{Diag_DD0158} => {HighCost}",0.00607497407023263,0.143607705779334,0.0423025633427174,1.9462016190858,82
"{Diag_DD0258} => {HighCost}",0.00592680397095866,0.134907251264755,0.0439324344347311,1.82829124254184,80
"{Diag_DD0134} => {HighCost}",0.00474144317676693,0.100787401574803,0.0470440065194844,1.36589191411315,64
"{Diag_DD0036} => {HighCost}",0.00585271892132168,0.126805778491172,0.0461549859238406,1.7184983916404,79
"{Diag_DD0126} => {HighCost}",0.00777893021188324,0.156716417910448,0.0496369832567788,2.12385362344902,105
"{Diag_DD0058} => {HighCost}",0.0104459919988146,0.228896103896104,0.0456363905763817,3.10204780159599,141
"{Diag_DD0080} => {HighCost}",0.00629722921914358,0.119887165021157,0.0525263001926211,1.62473589704375,85
"{Diag_DD0062} => {HighCost}",0.00792710031115721,0.148817802503477,0.053267150688991,2.01680993794371,107
"{Diag_DD0042} => {HighCost}",0.0114090976440954,0.208108108108108,0.0548229367313676,2.82032454140888,154
"{Diag_DD0240} => {HighCost}",0.01326122388502,0.239946380697051,0.0552674470291895,3.25180346049076,179
"{Diag_DD0052} => {HighCost}",0.013409393984294,0.235370611183355,0.0569714031708401,3.18979167645876,181
"{Diag_DD0038} => {HighCost}",0.0117054378426434,0.166491043203372,0.0703067121054971,2.25632138670594,158
"{Diag_DD0110} => {HighCost}",0.0140020743813898,0.23625,0.0592680397095866,3.2017093373494,189
"{Diag_DD0000} => {HighCost}",0.00926063120462291,0.124501992031873,0.0743813898355312,1.68727699643194,125
"{Diag_DD0022} => {HighCost}",0.0106682471477256,0.147843942505133,0.0721588383464217,2.00361198386977,144
"{Diag_DD0098} => {HighCost}",0.013187138835383,0.175542406311637,0.075122240331901,2.37898734979365,178
"{Diag_DD0044} => {HighCost}",0.0100755667506297,0.133464180569185,0.0754926655800859,1.80873444711131,136
"{Diag_DD0016} => {HighCost}",0.00940880130389687,0.106365159128978,0.088457549266558,1.44148284932023,127
"{Diag_DD0120} => {HighCost}",0.0182990072603349,0.251271617497457,0.0728256037931545,3.40528543471955,247
"{Diag_DD0072} => {HighCost}",0.0171136464661431,0.195596951735817,0.0874944436212772,2.65077073747998,231
"{Diag_DD0130} => {HighCost}",0.0165950511186842,0.175136825645035,0.0947547784857016,2.37349083590029,224
"{Diag_DD0082} => {HighCost}",0.0198547933027115,0.205521472392638,0.0966069047266262,2.78526991401188,268
"{Diag_DD0018} => {HighCost}",0.0117795228922803,0.103448275862069,0.113868721292043,1.40195263813876,159
"{Diag_DD0020} => {HighCost}",0.0157801155726774,0.147814018043026,0.106756556526893,2.00320644131,213
"{Diag_DD0056} => {HighCost}",0.0157801155726774,0.138401559454191,0.114016891391317,1.87564683686011,213
"{Diag_DD0002} => {HighCost}",0.0312638909468069,0.182053494391717,0.171729145058527,2.4672269752002,422
"{Diag_DD0012} => {HighCost}",0.0292635946066084,0.184407096171802,0.158690176322418,2.49912347803914,395
"{Diag_DD0034} => {HighCost}",0.0226700251889169,0.113670133729569,0.199436953622759,1.5404813906443,306
"{Diag_DD0006} => {HighCost}",0.0300044451029782,0.106355042016807,0.282115869017632,1.44134574010327,405
"{Diag_DD0072,Diag_DD0122} => {HighCost}",0.00148170099273967,0.303030303030303,0.00488961327604089,4.10672995010344,20
"{Diag_DD0122,Diag_DD0130} => {HighCost}",0.00103719069491777,0.424242424242424,0.00244480663802045,5.74942193014482,14
"{Diag_DD0002,Diag_DD0122} => {HighCost}",0.00148170099273967,0.273972602739726,0.00540820862349978,3.71293392749078,20
"{Diag_DD0012,Diag_DD0122} => {HighCost}",0.00148170099273967,0.3125,0.00474144317676693,4.23506526104418,20
"{Diag_DD0034,Diag_DD0122} => {HighCost}",0.00118536079419173,0.285714285714286,0.00414876277967106,3.87205966724039,16
"{Diag_DD0122,Diag_DD0142} => {HighCost}",0.00103719069491777,0.215384615384615,0.00481552822640391,2.91893728761199,14
"{Diag_DD0006,Diag_DD0122} => {HighCost}",0.00155578604237665,0.233333333333333,0.00666765446732849,3.16218206157965,21
"{Diag_DD0064,Diag_DD0122} => {HighCost}",0.00155578604237665,0.166666666666667,0.00933471625425989,2.25870147255689,21
"{Diag_DD0026,Diag_DD0210} => {HighCost}",0.00251889168765743,0.607142857142857,0.00414876277967106,8.22812679288583,34
"{Diag_DD0210,Diag_DD0258} => {HighCost}",0.00207438138983553,0.430769230769231,0.00481552822640391,5.83787457522397,28
"{Diag_DD0126,Diag_DD0210} => {HighCost}",0.00125944584382872,0.653846153846154,0.00192621129056156,8.86105962310782,17
"{Diag_DD0080,Diag_DD0210} => {HighCost}",0.00118536079419173,0.5,0.00237072158838346,6.77610441767068,16
"{Diag_DD0062,Diag_DD0210} => {HighCost}",0.00125944584382872,0.515151515151515,0.00244480663802045,6.98144091517585,17
"{Diag_DD0042,Diag_DD0210} => {HighCost}",0.0040005926803971,0.5,0.00800118536079419,6.77610441767068,54
"{Diag_DD0210,Diag_DD0240} => {HighCost}",0.00162987109201363,0.536585365853659,0.00303748703511631,7.27191693603683,22
"{Diag_DD0052,Diag_DD0210} => {HighCost}",0.00251889168765743,0.566666666666667,0.004445102978219,7.67958500669344,34
"{Diag_DD0110,Diag_DD0210} => {HighCost}",0.00244480663802045,0.540983606557377,0.00451918802785598,7.33152281256172,33
"{Diag_DD0000,Diag_DD0210} => {HighCost}",0.00162987109201363,0.407407407407407,0.0040005926803971,5.52127026625019,22
"{Diag_DD0022,Diag_DD0210} => {HighCost}",0.00148170099273967,0.606060606060606,0.00244480663802045,8.21345990020689,20
"{Diag_DD0098,Diag_DD0210} => {HighCost}",0.00125944584382872,0.425,0.00296340198547933,5.75968875502008,17
"{Diag_DD0104,Diag_DD0210} => {HighCost}",0.00140761594310268,0.703703703703704,0.00200029634019855,9.53673955079578,19
"{Diag_DD0044,Diag_DD0210} => {HighCost}",0.00185212624092458,0.625,0.00296340198547933,8.47013052208835,25
"{Diag_DD0016,Diag_DD0210} => {HighCost}",0.00148170099273967,0.5,0.00296340198547933,6.77610441767068,20
"{Diag_DD0120,Diag_DD0210} => {HighCost}",0.00274114683656838,0.616666666666667,0.00444510297821899,8.35719544846051,37
"{Diag_DD0072,Diag_DD0210} => {HighCost}",0.00229663653874648,0.5,0.00459327307749296,6.77610441767068,31
"{Diag_DD0130,Diag_DD0210} => {HighCost}",0.00281523188620536,0.612903225806452,0.00459327307749296,8.30619251198342,38
"{Diag_DD0082,Diag_DD0210} => {HighCost}",0.00288931693584235,0.629032258064516,0.00459327307749296,8.52477652545667,39
"{Diag_DD0018,Diag_DD0210} => {HighCost}",0.00148170099273967,0.5,0.00296340198547933,6.77610441767068,20
"{Diag_DD0020,Diag_DD0210} => {HighCost}",0.0013335308934657,0.418604651162791,0.00318565713439028,5.67301765200336,18
"{Diag_DD0056,Diag_DD0210} => {HighCost}",0.00281523188620536,0.493506493506494,0.00570454882204771,6.68810306159704,38
"{Diag_DD0102,Diag_DD0210} => {HighCost}",0.00103719069491777,0.378378378378378,0.00274114683656838,5.1278628025616,14
"{Diag_DD0002,Diag_DD0210} => {HighCost}",0.00325974218402726,0.473118279569892,0.00688990961623944,6.4117977285486,44
"{Diag_DD0012,Diag_DD0210} => {HighCost}",0.00318565713439028,0.544303797468354,0.00585271892132168,7.37651873316049,43
"{Diag_DD0034,Diag_DD0210} => {HighCost}",0.00726033486442436,0.367041198501873,0.0197807082530745,4.97421897327136,98
"{Diag_DD0142,Diag_DD0210} => {HighCost}",0.0022225514891095,0.37037037037037,0.00600088902059564,5.01933660568199,30
"{Diag_DD0004,Diag_DD0210} => {HighCost}",0.00185212624092458,0.373134328358209,0.00496369832567788,5.05679434154529,25
"{Diag_DD0006,Diag_DD0210} => {HighCost}",0.00540820862349978,0.401098901098901,0.013483479033931,5.43577607131824,73
"{Diag_DD0064,Diag_DD0210} => {HighCost}",0.00363016743221218,0.328859060402685,0.0110386723959105,4.45676666397132,49
"{Diag_DD0120,Diag_DD0266} => {HighCost}",0.00118536079419173,0.380952380952381,0.0031115720847533,5.16274622298719,16
"{Diag_DD0072,Diag_DD0266} => {HighCost}",0.00103719069491777,0.254545454545455,0.00407467773003408,3.44965315808689,14
"{Diag_DD0130,Diag_DD0266} => {HighCost}",0.00103719069491777,0.291666666666667,0.0035560823825752,3.95272757697457,14
"{Diag_DD0002,Diag_DD0266} => {HighCost}",0.00125944584382872,0.182795698924731,0.00688990961623944,2.47728548603014,17
"{Diag_DD0012,Diag_DD0266} => {HighCost}",0.00125944584382872,0.204819277108434,0.00614905911986961,2.77575361687715,17
"{Diag_DD0034,Diag_DD0266} => {HighCost}",0.00118536079419173,0.123076923076923,0.00963105645280782,1.66796416434971,16
"{Diag_DD0006,Diag_DD0266} => {HighCost}",0.00118536079419173,0.10126582278481,0.0117054378426434,1.37237557826242,16
"{Diag_DD0026,Diag_DD0070} => {HighCost}",0.00111127574455475,0.46875,0.00237072158838346,6.35259789156626,15
"{Diag_DD0052,Diag_DD0070} => {HighCost}",0.00103719069491777,0.333333333333333,0.0031115720847533,4.51740294511379,14
"{Diag_DD0070,Diag_DD0110} => {HighCost}",0.0013335308934657,0.327272727272727,0.00407467773003408,4.43526834611172,18
"{Diag_DD0070,Diag_DD0098} => {HighCost}",0.00125944584382872,0.186813186813187,0.00674173951696548,2.53173132088795,17
"{Diag_DD0016,Diag_DD0070} => {HighCost}",0.00103719069491777,0.264150943396226,0.00392650763076011,3.5798287489581,14
"{Diag_DD0070,Diag_DD0120} => {HighCost}",0.00170395614165061,0.511111111111111,0.00333382723366425,6.92668451584114,23
"{Diag_DD0070,Diag_DD0072} => {HighCost}",0.00155578604237665,0.338709677419355,0.00459327307749296,4.5902642829382,21
"{Diag_DD0070,Diag_DD0130} => {HighCost}",0.00111127574455475,0.3125,0.0035560823825752,4.23506526104418,15
"{Diag_DD0070,Diag_DD0082} => {HighCost}",0.00103719069491777,0.259259259259259,0.0040005926803971,3.51353562397739,14
"{Diag_DD0018,Diag_DD0070} => {HighCost}",0.00125944584382872,0.293103448275862,0.00429693287894503,3.97219914139316,17
"{Diag_DD0056,Diag_DD0070} => {HighCost}",0.00118536079419173,0.188235294117647,0.00629722921914358,2.55100401606426,16
"{Diag_DD0002,Diag_DD0070} => {HighCost}",0.00229663653874648,0.234848484848485,0.00977922655208179,3.18271571133017,31
"{Diag_DD0012,Diag_DD0070} => {HighCost}",0.00192621129056156,0.268041237113402,0.00718624981478738,3.63255082184408,26
"{Diag_DD0034,Diag_DD0070} => {HighCost}",0.0013335308934657,0.166666666666667,0.00800118536079419,2.25870147255689,18
"{Diag_DD0070,Diag_DD0142} => {HighCost}",0.00140761594310268,0.142857142857143,0.00985331160171877,1.9360298336202,19
"{Diag_DD0006,Diag_DD0070} => {HighCost}",0.00214846643947251,0.201388888888889,0.0106682471477256,2.72926427933958,29
"{Diag_DD0026,Diag_DD0158} => {HighCost}",0.00111127574455475,0.517241379310345,0.00214846643947251,7.00976319069381,15
"{Diag_DD0026,Diag_DD0258} => {HighCost}",0.00148170099273967,0.512820512820513,0.00288931693584235,6.94985068479044,20
"{Diag_DD0026,Diag_DD0134} => {HighCost}",0.00125944584382872,0.653846153846154,0.00192621129056156,8.86105962310782,17
